,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
18007209,18007209,2021-08-09 17:10:48.243839+00:00,x,y,2021-08-22 13:00:00+00:00,2021-08-22 15:00:00+00:00,alpha,True,20.0,1,a-9,18007209,14645.0
19545676,19545676,2021-08-17 04:22:49.884399+00:00,x,y,2021-08-25 16:00:00+00:00,2021-08-25 18:00:00+00:00,alpha,True,15.0,1,a-23,19545676,9045.0
10606953,10606953,2021-06-20 18:47:18.903227+00:00,x,y,2021-06-23 13:00:00+00:00,2021-06-23 15:00:00+00:00,alpha,True,15.0,1,a-9,10606953,9497.0
14584265,14584265,2021-07-15 15:05:02.195512+00:00,x,y,2021-07-17 17:00:00+00:00,2021-07-17 18:59:00+00:00,gamma,True,20.0,1,c-6,14584265,12560.0
18566576,18566576,2021-08-11 21:35:33.372289+00:00,x,y,2021-09-03 10:35:00+00:00,2021-09-03 12:35:00+00:00,omega,True,20.0,1,d-3,18566576,6870.0
3902473,3902473,2021-03-27 05:14:44.273562+00:00,x,y,2021-04-01 13:30:00+00:00,2021-04-01 15:30:00+00:00,alpha,True,35.0,1,a-5,3902473,10799.0
21500125,21500125,2021-08-29 18:10:55.694565+00:00,x,y,2021-09-04 13:00:00+00:00,2021-09-04 15:00:00+00:00,alpha,True,15.0,1,a-9,21500125,11245.0
19915783,19915783,2021-08-19 03:42:48.811036+00:00,x,y,2021-08-22 13:00:00+00:00,2021-08-22 15:00:00+00:00,alpha,True,20.0,1,a-9,19915783,28245.0
15075973,15075973,2021-07-19 10:58:37.104415+00:00,x,y,2021-07-30 17:00:00+00:00,2021-07-30 18:59:00+00:00,gamma,True,20.0,2,c-6,15075973,11285.0
4066770,4066770,2021-03-30 17:38:30.531107+00:00,x,y,2021-04-14 05:00:00+00:00,2021-04-14 06:55:00+00:00,beta,True,20.0,0,b-1,4066770,8936.0
7489990,7489990,2021-05-22 14:48:40.642679+00:00,x,y,2021-06-16 05:00:00+00:00,2021-06-16 07:00:00+00:00,alpha,True,15.0,1,a-1,7489990,7124.0
15457593,15457593,2021-07-22 16:28:23.148205+00:00,x,y,2021-07-28 16:00:00+00:00,2021-07-28 18:00:00+00:00,alpha,True,35.0,1,a-23,15457593,14645.0
4880374,4880374,2021-04-19 17:38:21.908329+00:00,x,y,2021-05-08 11:00:00+00:00,2021-05-08 13:00:00+00:00,gamma,True,20.0,1,c-4,4880374,7640.0
21272953,21272953,2021-08-27 21:47:44.884918+00:00,x,y,2021-09-13 10:00:00+00:00,2021-09-13 12:00:00+00:00,alpha,True,15.0,1,a-7,21272953,6810.0
1967084,1967084,2021-02-21 08:19:24.844869+00:00,x,y,2021-03-14 05:00:00+00:00,2021-03-14 07:00:00+00:00,gamma,True,20.0,1,c-2,1967084,12500.0
12123415,12123415,2021-07-01 08:13:24.053632+00:00,x,y,2021-07-06 17:00:00+00:00,2021-07-06 18:59:00+00:00,gamma,True,20.0,1,c-6,12123415,8750.0
9343833,9343833,2021-06-10 19:27:24.658149+00:00,x,y,2021-06-29 05:00:00+00:00,2021-06-29 07:00:00+00:00,gamma,True,20.0,1,c-2,9343833,10900.0
14844664,14844664,2021-07-17 13:31:09.786588+00:00,x,y,2021-07-28 16:00:00+00:00,2021-07-28 18:00:00+00:00,alpha,True,15.0,1,a-23,14844664,11245.0
3151831,3151831,2021-03-12 21:44:19.531132+00:00,x,y,2021-04-05 05:00:00+00:00,2021-04-05 07:00:00+00:00,alpha,True,35.0,1,a-1,3151831,10799.0
6304308,6304308,2021-05-06 17:27:24.453209+00:00,x,y,2021-05-27 05:00:00+00:00,2021-05-27 06:55:00+00:00,beta,True,20.0,0,b-1,6304308,6765.0
1958866,1958866,2021-02-21 01:02:36.742212+00:00,x,y,2021-02-26 13:00:00+00:00,2021-02-26 15:00:00+00:00,alpha,True,35.0,1,a-5,1958866,12500.0
19708061,19708061,2021-08-17 21:31:27.217016+00:00,x,y,2021-08-24 16:00:00+00:00,2021-08-24 18:00:00+00:00,alpha,True,15.0,1,a-23,19708061,12945.0
21637034,21637034,2021-08-30 21:45:45.645566+00:00,x,y,2021-09-16 17:00:00+00:00,2021-09-16 18:59:00+00:00,gamma,True,20.0,1,c-6,21637034,6870.0
18968040,18968040,2021-08-13 20:59:54.482334+00:00,x,y,2021-08-15 10:00:00+00:00,2021-08-15 12:00:00+00:00,alpha,True,15.0,1,a-7,18968040,11245.0
19810934,19810934,2021-08-18 13:00:17.384140+00:00,x,y,2021-08-28 13:00:00+00:00,2021-08-28 15:00:00+00:00,alpha,True,20.0,1,a-9,19810934,10545.0
6719976,6719976,2021-05-13 09:42:23.723750+00:00,x,y,2021-05-15 05:00:00+00:00,2021-05-15 07:00:00+00:00,gamma,True,20.0,1,c-2,6719976,7390.0
12500920,12500920,2021-07-03 09:05:55.186679+00:00,x,y,2021-07-10 07:00:00+00:00,2021-07-10 09:00:00+00:00,alpha,True,35.0,1,a-5,12500920,14645.0
21620664,21620664,2021-08-30 18:45:10.445343+00:00,x,y,2021-09-05 16:00:00+00:00,2021-09-05 18:00:00+00:00,alpha,True,15.0,1,a-23,21620664,11245.0
9164976,9164976,2021-06-09 05:34:59.535061+00:00,x,y,2021-06-13 13:00:00+00:00,2021-06-13 15:00:00+00:00,alpha,True,35.0,1,a-9,9164976,15377.0
5412393,5412393,2021-04-24 09:11:24.511573+00:00,x,y,2021-05-04 11:00:00+00:00,2021-05-04 13:00:00+00:00,gamma,True,20.0,2,c-4,5412393,8640.0
1597465,1597465,2021-02-12 20:03:40.169269+00:00,x,y,2021-02-22 11:00:00+00:00,2021-02-22 13:00:00+00:00,gamma,True,32.0,1,c-4,1597465,12500.0
18408573,18408573,2021-08-11 08:15:56.781129+00:00,x,y,2021-09-03 10:00:00+00:00,2021-09-03 12:00:00+00:00,alpha,True,20.0,1,a-7,18408573,7524.0
11169170,11169170,2021-06-25 07:08:37.808320+00:00,x,y,2021-07-28 17:00:00+00:00,2021-07-28 18:59:00+00:00,gamma,True,20.0,1,c-6,11169170,7765.0
6602307,6602307,2021-05-11 06:22:47.362726+00:00,x,y,2021-05-19 11:00:00+00:00,2021-05-19 13:00:00+00:00,gamma,True,20.0,2,c-4,6602307,8640.0
20249119,20249119,2021-08-21 00:02:59.878760+00:00,x,y,2021-08-25 08:00:00+00:00,2021-08-25 09:55:00+00:00,beta,True,40.0,0,b-67,20249119,9380.0
2496157,2496157,2021-03-02 18:43:41.873717+00:00,x,y,2021-04-01 05:00:00+00:00,2021-04-01 07:00:00+00:00,gamma,True,0.0,0,c-2,2496157,8525.0
16204237,16204237,2021-07-27 19:05:33.976007+00:00,x,y,2021-08-20 14:00:00+00:00,2021-08-20 16:00:00+00:00,gamma,True,20.0,2,c-4,16204237,9525.0
10008059,10008059,2021-06-15 16:25:27.193080+00:00,x,y,2021-07-24 16:00:00+00:00,2021-07-24 18:00:00+00:00,alpha,True,35.0,1,a-23,10008059,7150.0
21003875,21003875,2021-08-26 01:53:26.892122+00:00,x,y,2021-08-30 10:30:00+00:00,2021-08-30 12:25:00+00:00,beta,True,40.0,0,b-69,21003875,13360.0
18442060,18442060,2021-08-11 10:56:55.767298+00:00,x,y,2021-08-29 17:05:00+00:00,2021-08-29 19:05:00+00:00,omega,True,20.0,1,d-5,18442060,7950.0
10055693,10055693,2021-06-16 05:26:25.485588+00:00,x,y,2021-06-16 10:00:00+00:00,2021-06-16 12:00:00+00:00,alpha,True,35.0,1,a-7,10055693,7124.0
21009704,21009704,2021-08-26 04:04:24.894579+00:00,x,y,2021-08-26 10:00:00+00:00,2021-08-26 12:00:00+00:00,gamma,True,20.0,1,c-2,21009704,12560.0
19798354,19798354,2021-08-18 11:39:15.696032+00:00,x,y,2021-08-26 10:00:00+00:00,2021-08-26 12:00:00+00:00,alpha,True,15.0,1,a-7,19798354,7524.0
7737482,7737482,2021-05-25 14:48:08.382653+00:00,x,y,2021-06-12 16:00:00+00:00,2021-06-12 18:00:00+00:00,alpha,True,35.0,1,a-7,7737482,7520.0
690244,690244,2021-01-20 17:54:02.569636+00:00,x,y,2021-02-28 17:00:00+00:00,2021-02-28 18:59:00+00:00,gamma,True,32.0,1,c-6,690244,8650.0
19874794,19874794,2021-08-18 19:10:10.112731+00:00,x,y,2021-09-25 14:00:00+00:00,2021-09-25 16:00:00+00:00,gamma,True,20.0,2,c-4,19874794,8500.0
4490905,4490905,2021-04-11 02:04:40.841008+00:00,x,y,2021-04-12 15:30:00+00:00,2021-04-12 17:30:00+00:00,alpha,True,15.0,1,a-7,4490905,8048.0
15707769,15707769,2021-07-24 11:54:23.692329+00:00,x,y,2021-08-02 17:00:00+00:00,2021-08-02 18:59:00+00:00,gamma,True,20.0,1,c-6,15707769,10900.0
10741316,10741316,2021-06-21 19:53:00.405310+00:00,x,y,2021-09-19 11:00:00+00:00,2021-09-19 12:55:00+00:00,beta,True,20.0,0,b-69,10741316,6365.0
17147015,17147015,2021-08-04 19:11:55.610231+00:00,x,y,2021-08-23 14:00:00+00:00,2021-08-23 15:55:00+00:00,beta,True,20.0,0,b-9,17147015,6870.0
9736599,9736599,2021-06-13 17:51:41.471977+00:00,x,y,2021-06-24 16:00:00+00:00,2021-06-24 18:00:00+00:00,alpha,True,35.0,1,a-23,9736599,7124.0
9409799,9409799,2021-06-11 12:57:20.558461+00:00,x,y,2021-06-27 07:00:00+00:00,2021-06-27 09:00:00+00:00,alpha,True,15.0,1,a-5,9409799,9403.0
6533967,6533967,2021-05-10 06:37:11.991129+00:00,x,y,2021-06-06 13:30:00+00:00,2021-06-06 15:30:00+00:00,alpha,True,35.0,1,a-5,6533967,6995.0
15187916,15187916,2021-07-20 09:04:08.213514+00:00,x,y,2021-07-27 10:00:00+00:00,2021-07-27 12:00:00+00:00,alpha,True,35.0,1,a-7,15187916,14645.0
1856017,1856017,2021-02-18 10:03:15.997340+00:00,x,y,2021-03-04 11:00:00+00:00,2021-03-04 13:00:00+00:00,gamma,True,20.0,1,c-4,1856017,12500.0
8566507,8566507,2021-06-03 07:35:08.920868+00:00,x,y,2021-06-04 11:00:00+00:00,2021-06-04 13:00:00+00:00,gamma,True,20.0,1,c-4,8566507,10900.0
13057584,13057584,2021-07-06 06:00:58.895116+00:00,x,y,2021-07-19 14:00:00+00:00,2021-07-19 16:00:00+00:00,gamma,True,20.0,2,c-4,13057584,13560.0
13275208,13275208,2021-07-07 08:25:19.771681+00:00,x,y,2021-07-18 04:00:00+00:00,2021-07-18 06:00:00+00:00,alpha,True,35.0,1,a-1,13275208,12645.0
1764172,1764172,2021-02-16 11:20:30.173421+00:00,x,y,2021-03-02 16:00:00+00:00,2021-03-02 18:10:00+00:00,alpha,True,35.0,1,a-7,1764172,12500.0
16720192,16720192,2021-08-01 05:53:37.514807+00:00,x,y,2021-08-03 13:00:00+00:00,2021-08-03 15:00:00+00:00,alpha,True,35.0,1,a-9,16720192,10545.0
6803863,6803863,2021-05-14 19:44:54.736682+00:00,x,y,2021-05-19 10:00:00+00:00,2021-05-19 12:00:00+00:00,alpha,True,15.0,1,a-9,6803863,6495.0
2372384,2372384,2021-03-01 06:55:59.385640+00:00,x,y,2021-03-07 17:00:00+00:00,2021-03-07 18:59:00+00:00,gamma,True,20.0,1,c-6,2372384,7390.0
10672157,10672157,2021-06-21 10:15:45.006410+00:00,x,y,2021-06-26 16:00:00+00:00,2021-06-26 18:00:00+00:00,alpha,True,15.0,1,a-23,10672157,9497.0
9424867,9424867,2021-06-11 16:03:11.492756+00:00,x,y,2021-08-03 10:00:00+00:00,2021-08-03 12:00:00+00:00,alpha,True,35.0,1,a-7,9424867,9707.0
21204266,21204266,2021-08-27 11:42:00.243075+00:00,x,y,2021-09-04 11:00:00+00:00,2021-09-04 13:00:00+00:00,gamma,True,20.0,2,c-4,21204266,10530.0
1328385,1328385,2021-02-06 03:35:57.083418+00:00,x,y,2021-03-03 13:30:00+00:00,2021-03-03 15:40:00+00:00,alpha,True,0.0,0,a-5,1328385,8739.0
5339323,5339323,2021-04-23 12:06:32.978781+00:00,x,y,2021-04-24 17:00:00+00:00,2021-04-24 18:59:00+00:00,gamma,True,20.0,1,c-6,5339323,7390.0
14465233,14465233,2021-07-14 18:23:04.617843+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,True,35.0,1,a-5,14465233,12645.0
18186472,18186472,2021-08-10 12:06:40.247777+00:00,x,y,2021-08-17 04:00:00+00:00,2021-08-17 06:00:00+00:00,alpha,True,20.0,1,a-1,18186472,6810.0
7290959,7290959,2021-05-20 12:01:15.748961+00:00,x,y,2021-05-29 05:00:00+00:00,2021-05-29 06:55:00+00:00,beta,True,20.0,0,b-1,7290959,6744.0
10791309,10791309,2021-06-22 09:15:24.974587+00:00,x,y,2021-07-10 10:02:00+00:00,2021-07-10 12:00:00+00:00,alpha,True,15.0,1,a-7,10791309,9497.0
15719055,15719055,2021-07-24 13:54:32.429476+00:00,x,y,2021-07-26 16:00:00+00:00,2021-07-26 18:00:00+00:00,alpha,True,15.0,1,a-23,15719055,14945.0
12789481,12789481,2021-07-04 17:52:28.195334+00:00,x,y,2021-07-28 14:00:00+00:00,2021-07-28 16:00:00+00:00,gamma,True,20.0,2,c-4,12789481,11285.0
13689938,13689938,2021-07-09 17:25:11.577164+00:00,x,y,2021-07-15 11:00:00+00:00,2021-07-15 12:55:00+00:00,beta,True,40.0,0,b-69,13689938,17590.0
13502138,13502138,2021-07-08 14:06:38.392357+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,True,35.0,1,a-5,13502138,10545.0
17925964,17925964,2021-08-09 10:45:19.646900+00:00,x,y,2021-08-09 14:00:00+00:00,2021-08-09 16:00:00+00:00,gamma,True,20.0,2,c-4,17925964,23885.0
3509922,3509922,2021-03-19 01:10:36.739653+00:00,x,y,2021-04-13 05:00:00+00:00,2021-04-13 07:00:00+00:00,gamma,True,20.0,2,c-2,3509922,10800.0
2942210,2942210,2021-03-10 05:59:45.952326+00:00,x,y,2021-03-14 05:00:00+00:00,2021-03-14 07:00:00+00:00,gamma,True,20.0,1,c-2,2942210,7390.0
7368655,7368655,2021-05-21 08:59:46.824050+00:00,x,y,2021-05-22 05:00:00+00:00,2021-05-22 06:55:00+00:00,beta,True,40.0,0,b-1,7368655,8670.0
12774121,12774121,2021-07-04 16:24:54.614015+00:00,x,y,2021-07-20 16:00:00+00:00,2021-07-20 18:00:00+00:00,alpha,True,15.0,1,a-23,12774121,9045.0
11545557,11545557,2021-06-27 19:26:32.820268+00:00,x,y,2021-07-11 07:00:00+00:00,2021-07-11 09:00:00+00:00,alpha,True,35.0,1,a-5,11545557,11072.0
2822040,2822040,2021-03-08 07:53:29.584986+00:00,x,y,2021-03-14 05:00:00+00:00,2021-03-14 06:55:00+00:00,beta,True,20.0,0,b-1,2822040,6902.0
13942261,13942261,2021-07-11 10:44:21.263683+00:00,x,y,2021-08-03 13:00:00+00:00,2021-08-03 15:00:00+00:00,alpha,True,35.0,1,a-9,13942261,10545.0
15361928,15361928,2021-07-22 01:13:15.815688+00:00,x,y,2021-08-04 14:00:00+00:00,2021-08-04 16:00:00+00:00,gamma,True,20.0,1,c-4,15361928,9280.0
1774475,1774475,2021-02-16 14:56:22.137285+00:00,x,y,2021-03-01 13:30:00+00:00,2021-03-01 15:40:00+00:00,alpha,True,35.0,1,a-5,1774475,12500.0
11488086,11488086,2021-06-27 12:40:40.717009+00:00,x,y,2021-06-30 04:00:00+00:00,2021-06-30 06:00:00+00:00,alpha,True,35.0,1,a-1,11488086,7900.0
18389171,18389171,2021-08-11 06:30:22.929042+00:00,x,y,2021-08-23 10:00:00+00:00,2021-08-23 12:00:00+00:00,alpha,True,20.0,1,a-7,18389171,10545.0
